JobId,Name,Client,StartDate,StartTime,Type,Level,JobFiles,JobBytes,JobStatus
5,webserver-job,webserver-fd,2017-01-06,22:00:02,B,F,2067,62873878,T
10,webserver-job,webserver-fd,2017-01-13,22:00:02,B,F,2066,62900514,T
11,webserver-job,webserver-fd,2017-01-16,22:00:02,B,D,2059,62858403,T
12,webserver-job,webserver-fd,2017-01-17,22:00:02,B,D,2049,62609542,T
13,webserver-job,webserver-fd,2017-01-18,22:00:02,B,D,2065,62860497,T
14,webserver-job,webserver-fd,2017-01-19,22:00:02,B,D,2053,62701827,T
15,webserver-job,webserver-fd,2017-01-20,22:00:02,B,F,2074,63056912,T
16,webserver-job,webserver-fd,2017-01-23,22:00:02,B,D,2045,62565527,T
17,webserver-job,webserver-fd,2017-01-24,22:00:02,B,D,2064,62970729,T
18,webserver-job,webserver-fd,2017-01-25,22:00:02,B,D,2061,62773240,T
19,webserver-job,webserver-fd,2017-01-26,22:00:02,B,D,2060,62801538,T
20,webserver-job,webserver-fd,2017-01-27,22:00:02,B,F,2034,62321389,T
