JobId,Name,Client,StartDate,StartTime,Type,Level,JobFiles,JobBytes,JobStatus
5,webserver-job,webserver-fd,2017-01-06,22:00:02,B,F,2067,62873878,T
6,webserver-job,webserver-fd,2017-01-09,22:00:02,B,D,2054,62733788,T
7,webserver-job,webserver-fd,2017-01-10,22:00:02,B,D,2067,62946268,T
8,webserver-job,webserver-fd,2017-01-11,22:00:02,B,D,2053,62648028,T
9,webserver-job,webserver-fd,2017-01-12,22:00:02,B,D,2061,62900830,T
10,webserver-job,webserver-fd,2017-01-13,22:00:02,B,F,2066,62900514,T
11,webserver-job,webserver-fd,2017-01-16,22:00:02,B,D,2059,62858403,T
12,webserver-job,webserver-fd,2017-01-17,22:00:02,B,D,2049,62609542,T
13,webserver-job,webserver-fd,2017-01-18,22:00:02,B,D,2065,62860497,T
14,webserver-job,webserver-fd,2017-01-19,22:00:02,B,D,2053,62701827,T
15,webserver-job,webserver-fd,2017-01-20,22:00:02,B,F,2074,63056912,T
