JobId,Name,Client,StartDate,StartTime,Type,Level,JobFiles,JobBytes,JobStatus
1,webserver-job,webserver-fd,2017-01-02,22:00:02,B,F,2063,62790513,T
2,webserver-job,webserver-fd,2017-01-03,22:00:02,B,D,2064,62844912,T
3,webserver-job,webserver-fd,2017-01-04,22:00:02,B,D,2062,62780769,T
4,webserver-job,webserver-fd,2017-01-05,22:00:02,B,D,2041,62409316,T
5,webserver-job,webserver-fd,2017-01-06,22:00:02,B,F,2067,62873878,T
6,webserver-job,webserver-fd,2017-01-09,22:00:02,B,D,2054,62733788,T
7,webserver-job,webserver-fd,2017-01-10,22:00:02,B,D,2067,62946268,T
8,webserver-job,webserver-fd,2017-01-11,22:00:02,B,D,2053,62648028,T
9,webserver-job,webserver-fd,2017-01-12,22:00:02,B,D,2061,62900830,T
10,webserver-job,webserver-fd,2017-01-13,22:00:02,B,F,2066,62900514,T
